strain	gene	country	location	length	date	lat	lon	GenBank_Title	title	url	host
KAB5596385	CAMK/CAMKL kinase gene	Indonesia	Jember	1056	2014-02-XX	-8.25736	113.60487	CAMK/CAMKL kinase [Ceratobasidium theobromae]	"Draft genome sequence of fastidious pathogen Ceratobasidium
            theobromae, which causes vascular-streak dieback in Theobroma cacao"	https://www.ncbi.nlm.nih.gov/protein/KAB5596385.1/	Ceratobasidium theobromae
OQ863061	CAMK/CAMKL kinase gene	Vietnam	 Yên Bái	1056	2012-XX-XX	21.68379	104.45514	Ceratobasidium theobromae isolate YBa-1 CAMK/CAMKL kinase gene, partial cds	Ceratobasidium sp. is associated to Cassava Witches Broom Disease a re-emerging threat to cassava cultivation in Southeast Asia	https://www.ncbi.nlm.nih.gov/nuccore/OQ863061	Ceratobasidium theobromae
OQ863062	CAMK/CAMKL kinase gene	Vietnam	 Yên Bái	1056	2012-XX-XX	21.68379	104.45514	Ceratobasidium theobromae isolate YBa-2 CAMK/CAMKL kinase gene, partial cds	Ceratobasidium sp. is associated to Cassava Witches Broom Disease a re-emerging threat to cassava cultivation in Southeast Asia	https://www.ncbi.nlm.nih.gov/nuccore/OQ863062	Ceratobasidium theobromae
OQ863063	CAMK/CAMKL kinase gene	Vietnam	 Yên Bái	1056	2012-XX-XX	21.68379	104.45514	Ceratobasidium theobromae isolate YBa-3 CAMK/CAMKL kinase gene, partial cds	Ceratobasidium sp. is associated to Cassava Witches Broom Disease a re-emerging threat to cassava cultivation in Southeast Asia	https://www.ncbi.nlm.nih.gov/nuccore/OQ863063	Ceratobasidium theobromae
OQ863064	CAMK/CAMKL kinase gene	Vietnam	 Yên Bái	1056	2012-XX-XX	21.68379	104.45514	Ceratobasidium theobromae isolate YBa-4 CAMK/CAMKL kinase gene, partial cds	Ceratobasidium sp. is associated to Cassava Witches Broom Disease a re-emerging threat to cassava cultivation in Southeast Asia	https://www.ncbi.nlm.nih.gov/nuccore/OQ863064	Ceratobasidium theobromae
OQ863065	CAMK/CAMKL kinase gene	Vietnam	 Yên Bái	1056	2012-XX-XX	21.68379	104.45514	Ceratobasidium theobromae isolate YBa-5 CAMK/CAMKL kinase gene, partial cds	Ceratobasidium sp. is associated to Cassava Witches Broom Disease a re-emerging threat to cassava cultivation in Southeast Asia	https://www.ncbi.nlm.nih.gov/nuccore/OQ863065	Ceratobasidium theobromae
OQ863066	CAMK/CAMKL kinase gene	Vietnam	 Hoa Binh	1056	2012-XX-XX	20.81750	105.33750	Ceratobasidium theobromae isolate HBi-1 CAMK/CAMKL kinase gene, partial cds	Ceratobasidium sp. is associated to Cassava Witches Broom Disease a re-emerging threat to cassava cultivation in Southeast Asia	https://www.ncbi.nlm.nih.gov/nuccore/OQ863066	Ceratobasidium theobromae
OQ863067	CAMK/CAMKL kinase gene	Vietnam	 Hoa Binh	1056	2012-XX-XX	20.81750	105.33750	Ceratobasidium theobromae isolate HBi-2 CAMK/CAMKL kinase gene, partial cds	Ceratobasidium sp. is associated to Cassava Witches Broom Disease a re-emerging threat to cassava cultivation in Southeast Asia	https://www.ncbi.nlm.nih.gov/nuccore/OQ863067	Ceratobasidium theobromae
OQ863068	CAMK/CAMKL kinase gene	Vietnam	 Dong Nai	1056	2012-XX-XX	11.07286	107.16525	Ceratobasidium theobromae isolate DNa-1 CAMK/CAMKL kinase gene, partial cds	Ceratobasidium sp. is associated to Cassava Witches Broom Disease a re-emerging threat to cassava cultivation in Southeast Asia	https://www.ncbi.nlm.nih.gov/nuccore/OQ863068	Ceratobasidium theobromae
OQ863069	CAMK/CAMKL kinase gene	Vietnam	 Dong Nai	1056	2012-XX-XX	11.07286	107.16525	Ceratobasidium theobromae isolate DNa-2 CAMK/CAMKL kinase gene, partial cds	Ceratobasidium sp. is associated to Cassava Witches Broom Disease a re-emerging threat to cassava cultivation in Southeast Asia	https://www.ncbi.nlm.nih.gov/nuccore/OQ863069	Ceratobasidium theobromae
OQ863070	CAMK/CAMKL kinase gene	Vietnam	 Dong Nai	1056	2012-XX-XX	11.07286	107.16525	Ceratobasidium theobromae isolate DNa-3 CAMK/CAMKL kinase gene, partial cds	Ceratobasidium sp. is associated to Cassava Witches Broom Disease a re-emerging threat to cassava cultivation in Southeast Asia	https://www.ncbi.nlm.nih.gov/nuccore/OQ863070	Ceratobasidium theobromae
OQ863071	CAMK/CAMKL kinase gene	Cambodia	 Kratie	1056	2013-XX-XX	12.48811	106.01879	Ceratobasidium theobromae isolate Kra-1 CAMK/CAMKL kinase gene, partial cds	Ceratobasidium sp. is associated to Cassava Witches Broom Disease a re-emerging threat to cassava cultivation in Southeast Asia	https://www.ncbi.nlm.nih.gov/nuccore/OQ863071.1/	Ceratobasidium theobromae
OQ863072	CAMK/CAMKL kinase gene	Cambodia	 Kampong Chan	1056	2013-XX-XX	11.98000	105.44500	Ceratobasidium theobromae isolate PVe-1 CAMK/CAMKL kinase gene, partial cds	Ceratobasidium sp. is associated to Cassava Witches Broom Disease a re-emerging threat to cassava cultivation in Southeast Asia	https://www.ncbi.nlm.nih.gov/nuccore/OQ863072	Ceratobasidium theobromae
OQ863073	CAMK/CAMKL kinase gene	Cambodia	 Prey Veng	1056	2013-XX-XX	11.48682	105.32533	Ceratobasidium theobromae isolate KCh-1 CAMK/CAMKL kinase gene, partial cds	Ceratobasidium sp. is associated to Cassava Witches Broom Disease a re-emerging threat to cassava cultivation in Southeast Asia	https://www.ncbi.nlm.nih.gov/nuccore/OQ863073	Ceratobasidium theobromae
OQ863074	CAMK/CAMKL kinase gene	Vietnam	 Tay Ninh	1056	2013-XX-XX	11.31309	106.09634	Ceratobasidium theobromae isolate TNi-1 CAMK/CAMKL kinase gene, partial cds	Ceratobasidium sp. is associated to Cassava Witches Broom Disease a re-emerging threat to cassava cultivation in Southeast Asia	https://www.ncbi.nlm.nih.gov/nuccore/OQ863074	Ceratobasidium theobromae
OQ863075	CAMK/CAMKL kinase gene	Vietnam	 Tay Ninh	1056	2013-XX-XX	11.31309	106.09634	Ceratobasidium theobromae isolate TNi-2 CAMK/CAMKL kinase gene, partial cds	Ceratobasidium sp. is associated to Cassava Witches Broom Disease a re-emerging threat to cassava cultivation in Southeast Asia	https://www.ncbi.nlm.nih.gov/nuccore/OQ863075	Ceratobasidium theobromae
OQ863076	CAMK/CAMKL kinase gene	Philippines	 Mindanao	1056	2017-XX-XX	13.00000	122.00000	Ceratobasidium theobromae isolate Min-1 CAMK/CAMKL kinase gene, partial cds	Ceratobasidium sp. is associated to Cassava Witches Broom Disease a re-emerging threat to cassava cultivation in Southeast Asia	https://www.ncbi.nlm.nih.gov/nuccore/OQ863076	Ceratobasidium theobromae
OQ863077	CAMK/CAMKL kinase gene	Philippines	 Mindanao	1056	2017-XX-XX	13.00000	122.00000	Ceratobasidium theobromae isolate Min-2 CAMK/CAMKL kinase gene, partial cds	Ceratobasidium sp. is associated to Cassava Witches Broom Disease a re-emerging threat to cassava cultivation in Southeast Asia	https://www.ncbi.nlm.nih.gov/nuccore/OQ863077	Ceratobasidium theobromae
OQ863078	CAMK/CAMKL kinase gene	Philippines	 Mindanao	1056	2017-XX-XX	13.00000	122.00000	Ceratobasidium theobromae isolate Ray-1 CAMK/CAMKL kinase gene, partial cds	Ceratobasidium sp. is associated to Cassava Witches Broom Disease a re-emerging threat to cassava cultivation in Southeast Asia	https://www.ncbi.nlm.nih.gov/nuccore/OQ863078	Ceratobasidium theobromae
OQ863079	CAMK/CAMKL kinase gene	Thailand	 Rayong	1056	2017-XX-XX	12.67417	101.27889	Ceratobasidium theobromae isolate Ray-2 CAMK/CAMKL kinase gene, partial cds	Ceratobasidium sp. is associated to Cassava Witches Broom Disease a re-emerging threat to cassava cultivation in Southeast Asia	https://www.ncbi.nlm.nih.gov/nuccore/OQ863079	Ceratobasidium theobromae
OQ863080	CAMK/CAMKL kinase gene	Thailand	 Rayong	1056	2017-XX-XX	12.67417	101.27889	Ceratobasidium theobromae isolate Ray-3 CAMK/CAMKL kinase gene, partial cds	Ceratobasidium sp. is associated to Cassava Witches Broom Disease a re-emerging threat to cassava cultivation in Southeast Asia	https://www.ncbi.nlm.nih.gov/nuccore/OQ863080	Ceratobasidium theobromae
OQ863081	CAMK/CAMKL kinase gene	Thailand	 Rayong	1056	2017-XX-XX	12.67417	101.27889	Ceratobasidium theobromae isolate Ray-4 CAMK/CAMKL kinase gene, partial cds	Ceratobasidium sp. is associated to Cassava Witches Broom Disease a re-emerging threat to cassava cultivation in Southeast Asia	https://www.ncbi.nlm.nih.gov/nuccore/OQ863081	Ceratobasidium theobromae
OQ863082	CAMK/CAMKL kinase gene	Thailand	 Rayong	1056	2017-XX-XX	12.67417	101.27889	Ceratobasidium theobromae isolate Min-3 CAMK/CAMKL kinase gene, partial cds	Ceratobasidium sp. is associated to Cassava Witches Broom Disease a re-emerging threat to cassava cultivation in Southeast Asia	https://www.ncbi.nlm.nih.gov/nuccore/OQ863082	Ceratobasidium theobromae
